Regency/City,Province,Exposure,Climate Change,CV,AAL,Lognormal_Mean,Lognormal_Median,VaR_95%,TVaR_95%,VaR_99%,TVaR_99%,PML_25,PML_50,PML_100,PML_250,Prob_Any_Loss (%),μ,σ
Badung,Bali,Airport,0,0.15,1759189149.87016,1759189149.87016,1739726101.87808,2223504487.88273,32813536414.3304,2461425316.74881,173327011145.227,2258884691.10135,2363344976.93846,2461425316.74881,2583970943.25126,3.864,21.2769935250684,0.14916638004195
Badung,Bali,Airport,0,0.25,1764722725.02544,1764722725.02545,1712032516.51947,2566846864.15568,32436961106.6401,3035803759.135,173162193766.76,2634613206.80622,2838729855.45443,3035803759.135,3289303020.85465,3.864,21.2609471077796,0.246220677069239
Badung,Bali,Airport,0,0.35,1770214959.32275,1770214959.32275,1670832181.92091,2922593096.60766,32006870272.0776,3684510048.00531,172862560677.55,3029652164.58987,3358419957.77205,3684510048.00531,4115922789.13669,3.864,21.2365876517861,0.339938730706391
Badung,Bali,Airport,0,0.45,1775555570.92319,1775555570.92319,1619167308.75832,3281325075.39539,31530293174.9945,4396881450.44625,172420859862.314,3433891072.47899,3911166647.74683,4396881450.44625,5056970007.72414,3.864,21.2051778471045,0.429421381626228
Badung,Bali,Airport,0,0.55,1780644546.36639,1780644546.36639,1560229079.22454,3634351186.35262,31016097363.9503,5159181646.23504,171837014947.659,3837563628.21312,4484550979.21195,5159181646.23504,6099625642.52858,3.864,21.1680984930838,0.514087049676788
Badung,Bali,Airport,0,0.65,1785401652.85322,1785401652.85322,1496958618.36739,3974490933.40532,30473889540.3238,5956381624.37336,171117472335.453,4232207430.10193,5066426974.74923,5956381624.37336,7227020117.22262,3.864,21.1267012989606,0.59364626421662
Badung,Bali,Airport,0,0.75,1789770620.35977,1789770620.35977,1431816496.28782,4296427338.73085,29913062637.9226,6773745411.42353,170273693937.996,4611185107.77499,5645987906.43169,6773745411.42353,8420353463.66826,3.864,21.0822097522231,0.668047230836577
Badung,Bali,Airport,0,0.85,1793718773.6936,1793718773.6936,1366704858.68043,4596695747.54716,29342128824.5307,7597960745.72303,169320333708.786,4969801318.47909,6214355956.71416,7597960745.72303,9660749274.18343,3.864,21.035668466974,0.737412180470106
Badung,Bali,Airport,0,0.95,1797233787.15409,1797233787.15409,1302993477.72346,4873443714.13538,28768356451.0862,8417764131.3942,168273529661.809,5305139745.03587,6764753762.54634,8417764131.3942,10930598906.5608,3.864,20.9879301294921,0.801978061267079
Buleleng,Bali,Airport,0,0.15,71829538.7556908,71829538.7556908,71034842.0852649,90788021.1730574,1339811120.23023,100502578.245606,7077123722.24614,92232631.9918906,96497855.06385,100502578.245606,105506244.75233,3.864,18.0786810482305,0.14916638004195
Buleleng,Bali,Airport,0,0.25,72046006.4308152,72046006.4308152,69894892.8042776,104793270.387115,1324261015.82128,123938754.826302,7069464425.64464,107559877.451872,115893078.567607,123938754.826302,134288034.733601,3.864,18.0625031402182,0.246220677069239
Buleleng,Bali,Airport,0,0.35,72260642.4654548,72260642.4654549,68203811.2273967,119301022.575681,1306528903.16419,150402673.888343,7056295410.33948,123671202.023892,137091590.227132,150402673.888343,168013055.993499,3.864,18.0380110043519,0.339938730706391
Buleleng,Bali,Airport,0,0.45,72468983.9540059,72468983.9540058,66086024.9258475,133926697.722597,1286903292.45832,179457932.209004,7037326643.73951,140153651.683171,159633569.164852,179457932.209004,206399328.946433,3.864,18.0064678592593,0.429421381626228
Buleleng,Bali,Airport,0,0.55,72666995.4041144,72666995.4041145,63671977.4088179,148315609.364341,1265747624.47619,210542991.155075,7012561603.5717,156608582.607581,183011733.622471,210542991.155075,248921925.174189,3.864,17.9692551086621,0.514087049676788
Buleleng,Bali,Airport,0,0.65,72851455.2278427,72851455.2278427,61081837.5739965,162174963.726354,1243455328.89883,243043949.541842,6982270266.53967,172690817.002598,206730276.812632,243043949.541842,294891030.071116,3.864,17.9277251225706,0.59364626421662
Buleleng,Bali,Airport,0,0.75,73020122.458805,73020122.4588049,58416097.967044,175288188.799535,1220410857.1745,276359279.686626,6946927076.25641,188129862.79899,230348360.643947,276359279.686626,343538570.847633,3.864,17.8831020599345,0.668047230836577
Buleleng,Bali,Airport,0,0.85,73171717.3245946,73171717.3245945,55752408.3775894,187514412.403725,1196962415.47904,309945931.370609,6907136044.48321,202734621.81941,253504118.977779,309945931.370609,394093893.313446,3.864,17.8364311669694,0.737412180470106
Buleleng,Bali,Airport,0,0.95,73305785.2226702,73305785.2226703,53146652.7656296,198778601.179585,1173407140.62133,343344763.42569,6863560718.82124,216386670.173648,275921580.122704,343344763.42569,445838566.761155,3.864,17.7885656836407,0.801978061267079
Badung,Bali,Airport,1,0.15,2055858965.0,2055858965.0,2033113667.0,2598476483.0,38347214121.0,2876520302.0,202556893759.0,2639823207.0,2761899685.0,2876520302.0,3019732034.0,3.9239,21.43283428,0.14916638
Badung,Bali,Airport,1,0.25,2057878735.0,2057878735.0,1996435621.0,2993251859.0,37825394064.0,3540111946.0,201927923973.0,3072275557.0,3310300095.0,3540111946.0,3835722544.0,3.9239,21.41462924,0.2462206771
Badung,Bali,Airport,1,0.35,2059957120.0,2059957120.0,1944307742.0,3400952200.0,37245635042.0,4287576867.0,201156057832.0,3525534295.0,3908113571.0,4287576867.0,4789601631.0,3.9239,21.38817183,0.3399387307
Badung,Bali,Airport,1,0.45,2062065154.0,2062065154.0,1880441559.0,3810810659.0,36618126688.0,5106376940.0,200243266213.0,3987995215.0,4542285573.0,5106376940.0,5872979594.0,3.9239,21.35477246,0.4294213816
Badung,Bali,Airport,1,0.55,2064177175.0,2064177175.0,1808664879.0,4213050146.0,35954800964.0,5980679872.0,199198680547.0,4448620174.0,5198627538.0,5980679872.0,7070871082.0,3.9239,21.31585477,0.5140870497
Badung,Bali,Airport,1,0.65,2066272235.0,2066272235.0,1732452765.0,4599738244.0,35267891536.0,6893410203.0,198036829078.0,4897997428.0,5863452277.0,6893410203.0,8363939276.0,3.9239,21.27280402,0.5936462642
Badung,Bali,Airport,1,0.75,2068334419.0,2068334419.0,1654667535.0,4965132650.0,34568796876.0,7828025905.0,196775462625.0,5328880004.0,6524741765.0,7828025905.0,9730915622.0,3.9239,21.22686594,0.6680472308
Badung,Bali,Airport,1,0.85,2070352459.0,2070352459.0,1577482940.0,5305614504.0,33867376225.0,8769745258.0,195433517400.0,5736261742.0,7172756020.0,8769745258.0,11150664365.0,3.9239,21.17909634,0.7374121805
Badung,Bali,Airport,1,0.95,2072318965.0,2072318965.0,1502430076.0,5619374566.0,33171650280.0,9706189799.0,194029529872.0,6117146129.0,7800169135.0,9706189799.0,12603639867.0,3.9239,21.13034968,0.8019780613
Buleleng,Bali,Airport,1,0.15,75122632.5,75122632.5,74291502.2,94950284.63,1401236039.0,105110214.8,7401581212.0,96461125.01,100921891.3,105110214.8,110343279.2,3.9239,18.12350713,0.14916638
Buleleng,Bali,Airport,1,0.25,75196059.42,75196059.42,72950893.09,109375125.4,1382161413.0,129357704.0,7378561191.0,112262696.3,120960248.2,129357704.0,140159483.4,3.9239,18.10529708,0.2462206771
Buleleng,Bali,Airport,1,0.35,75271732.05,75271732.05,71045853.29,124272277.4,1360971757.0,156669929.6,7350330128.0,128824561.5,142804175.2,156669929.6,175014133.6,3.9239,18.07883605,0.3399387307
Buleleng,Bali,Airport,1,0.45,75348652.14,75348652.14,68712056.28,139248484.1,1338040403.0,186588973.2,7316965802.0,145722875.8,165976858.2,186588973.2,214600928.4,3.9239,18.04543523,0.4294213816
Buleleng,Bali,Airport,1,0.55,75425920.99,75425920.99,66089391.9,153946662.7,1313803877.0,218536612.5,7278805385.0,162554492.8,189960084.1,218536612.5,258372667.8,3.9239,18.00651881,0.5140870497
Buleleng,Bali,Airport,1,0.65,75502792.18,75502792.18,63304834.12,168077117.3,1288709319.0,251889228.0,7236381199.0,178975681.8,214253964.9,251889228.0,305623217.7,3.9239,17.96347225,0.5936462642
Buleleng,Bali,Airport,1,0.75,75578687.71,75578687.71,60462950.17,181430143.3,1263173053.0,286042682.4,7190341708.0,194721779.0,238419578.4,286042682.4,355575880.8,3.9239,17.91754134,0.6680472308
Buleleng,Bali,Airport,1,0.85,75653187.99,75653187.99,57643138.45,193873584.1,1237554973.0,320457120.2,7141377581.0,209609956.1,262101198.0,320457120.2,407458789.9,3.9239,17.86978178,0.7374121805
Buleleng,Bali,Airport,1,0.95,75726008.26,75726008.26,54901313.09,205341364.9,1212147698.0,354680443.2,7090164222.0,223530772.1,285031253.6,354680443.2,460558124.9,3.9239,17.82104782,0.8019780613
Badung,Bali,Educational Facilities,0,0.15,954609005.0,954609005.0,944047547.8,1206565767.0,17805985984.0,1335671478.0,94054425958.0,1225764533.0,1282449017.0,1335671478.0,1402169819.0,3.9239,20.66568709,0.14916638
Badung,Bali,Educational Facilities,0,0.25,955545299.2,955545299.2,927015105.6,1389871859.0,17563657603.0,1643798184.0,93762219927.0,1426565335.0,1537088479.0,1643798184.0,1781060557.0,3.9239,20.64748042,0.246220677
Badung,Bali,Educational Facilities,0,0.35,956509002.2,956509002.2,902809014.7,1579179179.0,17294430480.0,1990869533.0,93403682173.0,1637026935.0,1814671662.0,1990869533.0,2223976913.0,3.9239,20.62102159,0.339938731
Badung,Bali,Educational Facilities,0,0.45,957486838.2,957486838.2,873152838.7,1769488730.0,17003039057.0,2371064126.0,92979744849.0,1851761533.0,2109137359.0,2371064126.0,2727023757.0,3.9239,20.58762117,0.429421382
Badung,Bali,Educational Facilities,0,0.55,958467020.4,958467020.4,839824051.2,1956261153.0,16695025678.0,2777031199.0,92494659897.0,2065644254.0,2413897947.0,2777031199.0,3283243715.0,3.9239,20.54870297,0.51408705
Badung,Bali,Educational Facilities,0,0.65,959439899.4,959439899.4,804436258.9,2135813628.0,16376071720.0,3200842890.0,91955180050.0,2274305428.0,2722598682.0,3200842890.0,3883659144.0,3.9239,20.50565229,0.593646264
Badung,Bali,Educational Facilities,0,0.75,960398123.3,960398123.3,768318498.6,2305480214.0,16051469888.0,3634819069.0,91369549956.0,2474380501.0,3029659850.0,3634819069.0,4518395582.0,3.9239,20.45971492,0.668047231
Badung,Bali,Educational Facilities,0,0.85,961336462.5,961336462.5,732480048.4,2463580854.0,15725797566.0,4072096926.0,90746561289.0,2663545305.0,3330559427.0,4072096926.0,5177640257.0,3.9239,20.41194666,0.73741218
Badung,Bali,Educational Facilities,0,0.95,962251465.8,962251465.8,697631767.7,2609275650.0,15402778071.0,4506929445.0,90094817788.0,2840408706.0,3621896200.0,4506929445.0,5852318655.0,3.9239,20.36320197,0.801978061
Bangli,Bali,Educational Facilities,0,0.15,63221781.3,63221781.3,62522317.82,79908356.91,1179253648.0,88458761.29,6229030228.0,81179851.49,84933947.71,88458761.29,92862808.91,3.9239,17.95103414,0.14916638
Bangli,Bali,Educational Facilities,0,0.25,63283584.63,63283584.63,61394095.01,92048041.57,1163200963.0,108865002.6,6209657862.0,94478166.72,101797862.3,108865002.6,117955576.3,3.9239,17.93282422,0.246220677
Bangli,Bali,Educational Facilities,0,0.35,63347230.88,63347230.88,59790813.22,104585140.2,1145367454.0,131850376.4,6185895382.0,108416254.3,120181226.2,131850376.4,147288502.9,3.9239,17.90636258,0.339938731
Bangli,Bali,Educational Facilities,0,0.45,63411864.17,63411864.17,57826642.62,117188638.5,1126067075.0,157029413.1,6157806787.0,122637352.4,139682684.3,157029413.1,180603694.1,3.9239,17.87296017,0.429421382
Bangli,Bali,Educational Facilities,0,0.55,63476720.98,63476720.98,55619312.75,129557971.9,1105667137.0,183915388.7,6125675264.0,136802123.8,159866039.4,183915388.7,217440496.9,3.9239,17.83404105,0.51408705
Bangli,Bali,Educational Facilities,0,0.65,63541172.92,63541172.92,53275690.81,141449300.9,1084544019.0,211983378.7,6089948938.0,150621247.4,180310526.8,211983378.7,257204497.5,3.9239,17.7909907,0.593646264
Bangli,Bali,Educational Facilities,0,0.75,63604738.08,63604738.08,50883790.46,152686122.1,1063048243.0,240724871.6,6051174145.0,163871960.8,200646707.4,240724871.6,299241908.7,3.9239,17.74505497,0.668047231
Bangli,Bali,Educational Facilities,0,0.85,63667070.58,63667070.58,48510444.32,163157211.1,1041482876.0,269685477.0,6009932992.0,176400390.0,220575178.8,269685477.0,342903031.9,3.9239,17.69728968,0.73741218
Bangli,Bali,Educational Facilities,0,0.95,63727939.13,63727939.13,46202719.78,172806969.6,1020094371.0,298484684.7,5966794823.0,188114437.4,239870749.8,298484684.7,387587050.1,3.9239,17.64854922,0.801978061
Buleleng,Bali,Educational Facilities,0,0.15,2028396313.0,2028396313.0,2005954852.0,2563765418.0,37834962936.0,2838095061.0,199851000000.0,2604559822.0,2725005573.0,2838095061.0,2979393737.0,3.9239,21.41938602,0.14916638
Buleleng,Bali,Educational Facilities,0,0.25,2030383175.0,2030383175.0,1969761010.0,2953258669.0,37320004523.0,3492812093.0,199230000000.0,3031226522.0,3266070786.0,3492812093.0,3784473003.0,3.9239,21.40117806,0.246220677
Buleleng,Bali,Educational Facilities,0,0.35,2032429281.0,2032429281.0,1918325361.0,3355504232.0,36747910193.0,4230280662.0,198468000000.0,3478421499.0,3855888250.0,4230280662.0,4725596715.0,3.9239,21.37471843,0.339938731
Buleleng,Bali,Educational Facilities,0,0.45,2034506906.0,2034506906.0,1855310600.0,3759881491.0,36128747678.0,5038133316.0,197567000000.0,3934698083.0,4481580687.0,5038133316.0,5794490791.0,3.9239,21.34131796,0.429421382
Buleleng,Bali,Educational Facilities,0,0.55,2036591310.0,2036591310.0,1784493705.0,4156746532.0,35474297490.0,5900753482.0,196537000000.0,4389168379.0,5129152571.0,5900753482.0,6976375270.0,3.9239,21.30240057,0.51408705
Buleleng,Bali,Educational Facilities,0,0.65,2038662134.0,2038662134.0,1709303252.0,4538275270.0,34796632224.0,6801298551.0,195391000000.0,4832549033.0,5785103208.0,6801298551.0,8252178008.0,3.9239,21.25935167,0.593646264
Buleleng,Bali,Educational Facilities,0,0.75,2040703771.0,2040703771.0,1632563017.0,4898803999.0,34106996189.0,7723452183.0,194147000000.0,5257692093.0,6437578470.0,7723452183.0,9600921409.0,3.9239,21.21341702,0.668047231
Buleleng,Bali,Educational Facilities,0,0.85,2042705031.0,2042705031.0,1556417278.0,5234763480.0,33415112256.0,8652634332.0,192824000000.0,5659659868.0,7076971243.0,8652634332.0,11001758714.0,3.9239,21.1656524,0.73741218
Buleleng,Bali,Educational Facilities,0,0.95,2044658447.0,2044658447.0,1482376216.0,5544369313.0,32728887834.0,9576635306.0,191440000000.0,6035496812.0,7696055473.0,9576635306.0,12435411324.0,3.9239,21.11691219,0.801978061
Denpasar CIty,Bali,Educational Facilities,0,0.15,347527938.0,347527938.0,343683011.5,439253465.0,6482316383.0,486254741.2,34240763014.0,446242826.6,466878963.3,486254741.2,510463638.2,3.9239,19.65523031,0.14916638
Denpasar CIty,Bali,Educational Facilities,0,0.25,347869456.3,347869456.3,337482944.1,505987490.5,6394108187.0,598430216.9,34134449194.0,519345872.8,559582192.4,598430216.9,648401041.9,3.9239,19.63702553,0.246220677
Denpasar CIty,Bali,Educational Facilities,0,0.35,348221014.3,348221014.3,328671314.2,574906638.9,6296108149.0,724784196.0,34003992507.0,595966350.9,660638640.5,724784196.0,809647891.0,3.9239,19.61056876,0.339938731
Denpasar CIty,Bali,Educational Facilities,0,0.45,348577749.6,348577749.6,317875546.1,644190995.4,6190039231.0,863197450.2,33849729238.0,674142810.4,767841734.1,863197450.2,992786288.5,3.9239,19.5771705,0.429421382
Denpasar CIty,Bali,Educational Facilities,0,0.55,348935337.4,348935337.4,305742693.7,712187932.1,6077918482.0,1010993908.0,33673203844.0,752009468.7,878793194.3,1010993908.0,1195283436.0,3.9239,19.53825444,0.51408705
