Regency/City,Province,Exposure,Year,Climate Change Scenario,CV,AAL,Lognormal_Mean,Lognormal_Median,VaR_95%,TVaR_95%,VaR_99%,TVaR_99%,PML_25,PML_50,PML_100,PML_250,Prob_Any_Loss (%),μ,σ
Badung,Bali,Rice Field,2022,0,0.15,13281105463.1441,13281105463.1441,13134167998.781,16786482342.4613,247727788549.405,18582680107.9388,1308542810647.29,17053587338.1285,17842216618.2802,18582680107.9388,19507845767.2121,3.9239,23.2984829157694,0.14916638004195
Badung,Bali,Rice Field,2022,0,0.25,13294535569.6982,13294535569.6982,12897593975.858,19337336372.2019,244363789897.32,22870222322.2414,1304517084589.57,19847853996.3136,21385566412.7399,22870222322.2414,24779958568.0732,3.9239,23.2803066174188,0.246220677069239
Badung,Bali,Rice Field,2022,0,0.35,13308257203.8113,13308257203.8113,12561109770.4855,21971693565.7454,240623693538.773,27699691006.8149,1299559359325.71,22776550402.5968,25248186024.5621,27699691006.8149,30942998656.9628,3.9239,23.2538713516059,0.339938730706391
Badung,Bali,Rice Field,2022,0,0.45,13322027686.1008,13322027686.1008,12148643539.4934,24619845313.4222,236572397680.433,32989886306.3417,1293677036282.64,25764550931.4213,29345558775.8065,32989886306.3417,37942543479.872,3.9239,23.2204833576604,0.429421381626228
Badung,Bali,Rice Field,2022,0,0.55,13335644375.6505,13335644375.6506,11684903754.3993,27218467074.9272,232286474698.295,38638262669.5318,1286925752021.38,28740370400.8263,33585803053.8907,38638262669.5318,45681457626.8738,3.9239,23.1815635682237,0.514087049676788
Badung,Bali,Rice Field,2022,0,0.65,13348952518.831,13348952518.831,11192344023.7142,29716165363.5557,227844812335.528,44534211873.6876,1279397837286.6,31643040065.5168,37880268015.8671,44534211873.6876,54034423146.8976,3.9239,23.1384958121962,0.59364626421662
Badung,Bali,Rice Field,2022,0,0.75,13361844179.9301,13361844179.9301,10689475343.9441,32075726340.269,223321177231.117,50570575733.1986,1271207908130.29,34425605266.9577,42151105727.9202,50570575733.1986,62863614835.0973,3.9239,23.0925254816343,0.668047230836577
Badung,Bali,Rice Field,2022,0,0.85,13374251779.2987,13374251779.2987,10190368276.2621,34273692834.2086,218779568121.378,56651600860.0836,1262479273555.85,37055627170.3405,46335224021.844,56651600860.0836,72032079423.2138,3.9239,23.0447088244761,0.737412180470106
Badung,Bali,Rice Field,2022,0,0.95,13386139526.1514,13386139526.1514,9704943574.4756,36298336920.0751,214272197721.197,62697110396.2528,1253333296264.04,39513691173.831,50385174356.6955,62697110396.2528,81413182365.8381,3.9239,22.995901239483,0.801978061267079
Bangli,Bali,Rice Field,2022,0,0.15,2815438072.29975,2815438072.29974,2784289058.94666,3558536721.06631,52515376026.8011,3939309510.52566,277395677532.579,3615159836.98012,3782339964.14883,3939309510.52566,4135433743.37139,3.9239,21.7472584026734,0.14916638004195
Bangli,Bali,Rice Field,2022,0,0.25,2818287473.30065,2818287473.30066,2734140455.47617,4099291214.7299,51802291579.5264,4848222094.29293,276542504168.797,4207515034.7641,4533492246.8324,4848222094.29293,5253064046.89212,3.9239,21.7290829475482,0.246220677069239
Bangli,Bali,Rice Field,2022,0,0.35,2821198476.7808,2821198476.7808,2662811757.27664,4657748003.41427,51009473839.636,5872018017.00566,275491736360.938,4828368457.12037,5352326969.87353,5872018017.00566,6559562183.17253,3.9239,21.7026484530621,0.339938730706391
Bangli,Bali,Rice Field,2022,0,0.45,2824119408.63268,2824119408.63268,2575375221.91455,5219129146.51212,50150676426.9179,6993483304.61206,274244920724.794,5461793809.06458,6220927027.67705,6993483304.61206,8043390689.40631,3.9239,21.6692610776947,0.429421381626228
Bangli,Bali,Rice Field,2022,0,0.55,2827007130.98292,2827007130.98292,2477068622.10956,5770009933.35869,49242128981.9322,8190878597.13781,272813834527.025,6092636379.7297,7119813790.66317,8190878597.13781,9683956982.28613,3.9239,21.6303416907879,0.514087049676788
Bangli,Bali,Rice Field,2022,0,0.65,2829828713.28486,2829828713.28486,2372651819.87794,6299494876.16239,48300553261.4285,9440755093.39732,271218039809.556,6707970773.48989,8030193376.37243,9440755093.39732,11454693685.6035,3.9239,21.5872740779196,0.59364626421662
Bangli,Bali,Rice Field,2022,0,0.75,2832561203.29591,2832561203.29591,2266048962.63673,6799694471.47512,47341586534.0934,10720395247.9369,269481828511.464,7297842465.90982,8935561974.31688,10720395247.9369,13326381754.1214,3.9239,21.5413036068372,0.668047230836577
Bangli,Bali,Rice Field,2022,0,0.85,2835190249.00613,2835190249.00612,2160242924.04599,7265635590.27555,46378796246.3515,12009499222.8056,267631340057.332,7855374233.85223,9822543907.5093,12009499222.8056,15269986879.7474,3.9239,21.4934865171549,0.737412180470106
Bangli,Bali,Rice Field,2022,0,0.95,2837708271.93083,2837708271.93083,2057336889.85603,7694831712.62323,45423251918.9239,13291069351.9985,265692304741.526,8376449989.89024,10681079916.6814,13291069351.9985,17258662259.751,3.9239,21.4446782114828,0.801978061267079
Buleleng,Bali,Rice Field,2022,0,0.15,12481502527.189,12481502527.1891,12343411587.5548,15775834501.2376,232813076246.92,17463890289.316,1229760613177.35,16026858159.4487,16768007183.5676,17463890289.316,18333355376.1141,3.9239,23.2363882829802,0.14916638004195
Buleleng,Bali,Rice Field,2022,0,0.25,12494122192.6269,12494122192.6269,12121078941.0763,18173108962.5198,229651576350.616,21493293298.4822,1225977076956.4,18652890263.92,20098022869.5102,21493293298.4822,23288051594.9281,3.9239,23.2182118351663,0.246220677069239
Buleleng,Bali,Rice Field,2022,0,0.35,12507016431.5083,12507016431.5083,11804851972.0862,20648859444.657,226136634031.824,26031995419.4093,1221317713648.65,21405258838.6084,23728086453.3142,26031995419.4093,29080035553.5615,3.9239,23.1917764679801,0.339938730706391
Buleleng,Bali,Rice Field,2022,0,0.45,12519957615.4824,12519957615.4824,11417218593.4393,23137575381.6646,222329247599.619,31003687128.3424,1215789521236.33,24213362503.3583,27578771094.964,31003687128.3424,35658163110.3513,3.9239,23.1583884557688,0.429421381626228
Buleleng,Bali,Rice Field,2022,0,0.55,12532755522.6804,12532755522.6804,10981399768.5277,25579745825.7841,218301382116.528,36311998596.9728,1209444806084.88,27010021092.2328,31563728519.6255,36311998596.9728,42931149349.0816,3.9239,23.1194687483749,0.514087049676788
Buleleng,Bali,Rice Field,2022,0,0.65,12545264760.7422,12545264760.7422,10518497153.4457,27927072302.7824,214127175228.063,41852982702.4455,1202370341825.66,29737937482.1123,35599646548.7873,41852982702.4455,50781223741.3794,3.9239,23.0764011779147,0.59364626421662
Buleleng,Bali,Rice Field,2022,0,0.75,12557383818.6282,12557383818.6283,10045907054.9026,30144581952.3208,209875949723.41,47525934359.018,1194673833994.01,32352984565.9405,39613365182.0391,47525934359.018,59078861351.8215,3.9239,23.0304311302807,0.668047230836577
Buleleng,Bali,Rice Field,2022,0,0.85,12569049045.1896,12569049045.1896,9576852654.37694,32210230022.7159,205607847615.022,53240866214.3663,1186471151412.02,34824676773.7081,43545591399.128,53240866214.3663,67695356273.967,3.9239,22.9826148420043,0.737412180470106
Buleleng,Bali,Rice Field,2022,0,0.95,12580226636.635,12580226636.635,9120657186.04971,34112994571.3904,201371934305.358,58922429181.7724,1177876331517.33,37134768335.9843,47351733581.9845,58922429181.7724,76511699536.0048,3.9239,22.9338076983103,0.801978061267079
Denpasar CIty,Bali,Rice Field,2022,0,0.15,4344798657.01237,4344798657.01237,4296729337.8129,5491552351.56316,81042001057.8919,6079162898.05211,428078450406.161,5578933438.15095,5836926678.75824,6079162898.05211,6381822832.88054,3.9239,22.1811199511151,0.14916638004195
Denpasar CIty,Bali,Rice Field,2022,0,0.25,4349183607.70726,4349183607.70725,4219327858.7722,6326029662.77304,79941340091.7148,7481780428.28546,426760625862.151,6493040753.20128,6996089062.02166,7481780428.28546,8106532871.26264,3.9239,22.1629416771362,0.246220677069239
Denpasar CIty,Bali,Rice Field,2022,0,0.35,4353667166.63522,4353667166.63522,4109245136.06501,7187826280.15046,78717705709.3726,9061685043.76174,425138230133.509,7451127381.92344,8259698984.53376,9061685043.76174,10122701660.0999,3.9239,22.136505183395,0.339938730706391
Denpasar CIty,Bali,Rice Field,2022,0,0.45,4358171567.10717,4358171567.10717,3974310375.28772,8054142534.43413,77392355084.8741,10792319899.8003,423213838718.322,8428621825.02114,9600113653.19607,10792319899.8003,12412533442.6553,3.9239,22.1031170795078,0.429421381626228
Denpasar CIty,Bali,Rice Field,2022,0,0.55,4362631520.8585,4362631520.85849,3822607142.2704,8904267320.39586,75990350960.3333,12640146803.9362,421005741651.617,9402143780.97321,10987281823.7252,12640146803.9362,14944262260.4458,3.9239,22.0641985247456,0.514087049676788
Denpasar CIty,Bali,Rice Field,2022,0,0.65,4366996848.7533,4366996848.7533,3661480630.24221,9721392020.58108,74537502180.0714,14568990536.1305,418544175346.4,10351752772.8226,12392209113.1767,14568990536.1305,17676904257.0066,3.9239,22.0211334463359,0.59364626421662
Denpasar CIty,Bali,Rice Field,2022,0,0.75,4371232252.07036,4371232252.07036,3496985801.65629,10493345648.9312,73057934169.6893,16543804034.3829,415866622322.422,11262091820.0795,13789434327.865,16543804034.3829,20565384309.8732,3.9239,21.9751672348696,0.668047230836577
