Regency/City,Province,Exposure,Climate Change,Model,Metode,WMSE,Parameter,Total Data,l_min (PML 2y),P(L > l_min),E[L|L>l_min],AAL,PML 2y,PML 5y,PML 10y,PML 25y,PML 50y,PML 100y,PML 250y
Badung,Bali,Airport,0,Lognormal,WLS,3.60896e-06,"σ=0.1748, μ=3.4223 (WLS)",7,30.65406361,0.5,35.4406311,17.72031555,30.65406361,35.52869721,38.35250074,41.63960103,43.88232761,45.98554971,48.64604212
Buleleng,Bali,Airport,0,Lognormal,Linear,8.56165e-06,"σ=0.0848, μ=0.4180 (Linear)",7,1.519323218,0.5,1.627752338,0.813876169,1.519323218,1.632096468,1.693794512,1.762738213,1.808180057,1.849720801,1.900890934
Badung,Bali,Airport,1,Lognormal,Linear,7.92016e-07,"σ=0.1971, μ=3.5159 (Linear)",7,33.66503068,0.5,39.68088663,19.84044332,33.66503068,39.75794318,43.33749842,47.54666848,50.44308576,53.17652687,56.65700097
Buleleng,Bali,Airport,1,Lognormal,Linear,7.51671e-06,"σ=0.0815, μ=0.4583 (Linear)",7,1.581742576,0.5,1.689960295,0.844980148,1.581742576,1.694379549,1.755872422,1.824483029,1.86964749,1.910895665,1.961655528
Badung,Bali,Educational Facilities,0,Pareto,Linear,1.62912e-06,"α=14.6046, xm=17.3485 (Linear)",7,18.19324449,0.5,19.51766505,9.758832525,18.19324449,19.36276734,20.28653761,21.57664066,22.62866862,23.73994808,25.27142644
Bangli,Bali,Educational Facilities,0,Pareto,Linear,4.68155e-05,"α=30.0665, xm=1.3745 (Linear)",7,1.406654235,0.5,1.454599875,0.727299937,1.406654235,1.449874018,1.483071099,1.528157812,1.563907452,1.600754056,1.650108717
Buleleng,Bali,Educational Facilities,0,Pareto,Linear,2.39733e-06,"α=18.0468, xm=39.5995 (Linear)",7,41.15293095,0.5,43.5441451,21.77207255,41.15293095,43.28099799,44.94456603,47.24392605,49.09956783,51.04194057,53.69065566
Denpasar City,Bali,Educational Facilities,0,Lognormal,Linear,2.20701e-06,"σ=0.2026, μ=2.7817 (Linear)",7,16.15454086,0.5,19.13375903,9.566879515,16.15454086,19.16772762,20.94417016,23.03834024,24.48244352,25.84743293,27.5883114
Gianyar,Bali,Educational Facilities,0,Pareto,Linear,1.80631e-06,"α=11.2380, xm=5.7428 (Linear)",7,6.108855775,0.5,6.699671308,3.349835654,6.108855775,6.624037255,7.037635577,7.624721835,8.111345461,8.632786393,9.363417453
Jembrana,Bali,Educational Facilities,0,Lognormal,Linear,8.59466e-06,"σ=0.1437, μ=2.8488 (Linear)",7,17.27282893,0.5,19.44477276,9.722386379,17.27282893,19.5013516,20.76712664,22.21992366,23.19940011,24.10988975,25.25110911
Karangasem,Bali,Educational Facilities,0,Lognormal,Linear,4.91078e-06,"σ=0.1146, μ=3.4767 (Linear)",7,32.36256649,0.5,35.54450973,17.77225487,32.36256649,35.64971759,37.48252412,39.55845877,40.94248113,42.21842515,43.80400971
Klungkung,Bali,Educational Facilities,0,Pareto,Linear,2.08584e-06,"α=11.9150, xm=6.5148 (Linear)",7,6.905799876,0.5,7.532299509,3.766149755,6.905799876,7.45382066,7.892023369,8.511545511,9.022993367,9.569104621,10.33117941
Tabanan,Bali,Educational Facilities,0,Lognormal,Linear,3.60481e-06,"σ=0.0908, μ=3.1699 (Linear)",7,23.81123134,0.5,25.63786544,12.81893272,23.81123134,25.70849674,26.75046113,27.91796738,28.6892644,29.39554834,30.26709394
Badung,Bali,Educational Facilities,1,Pareto,Linear,5.50574e-06,"α=10.2402, xm=16.9338 (Linear)",7,18.12192028,0.5,20.06365562,10.03182781,18.12192028,19.80584931,21.16706322,23.11258738,24.73635085,26.48685156,28.95688428
Bangli,Bali,Educational Facilities,1,Lognormal,WLS,2.72397e-05,"σ=0.0428, μ=0.3652 (WLS)",7,1.44096755,0.5,1.491464499,0.745732249,1.44096755,1.493972314,1.52220387,1.553154549,1.573227589,1.591359807,1.613420052
Buleleng,Bali,Educational Facilities,1,Pareto,Linear,3.62497e-06,"α=15.6722, xm=41.2118 (Linear)",7,43.07891295,0.5,45.98690412,22.99345206,43.07891295,45.65400841,47.68048575,50.50014716,52.7909481,55.20290734,58.51437007
Denpasar City,Bali,Educational Facilities,1,Lognormal,Linear,1.82044e-06,"σ=0.2238, μ=2.8137 (Linear)",7,16.68080077,0.5,20.12920338,10.06460169,16.68080077,20.14975672,22.22248432,24.68960141,26.4047572,28.03573258,30.12891589
Gianyar,Bali,Educational Facilities,1,Lognormal,WLS,1.73377e-06,"σ=0.1894, μ=1.8046 (WLS)",7,6.080609202,0.5,7.119276373,3.559638186,6.080609202,7.134601229,7.750808827,8.472872047,8.968275465,9.434783669,10.02743709
Jembrana,Bali,Educational Facilities,1,Lognormal,Linear,1.33578e-05,"σ=0.1600, μ=2.8861 (Linear)",7,17.93165251,0.5,20.46958102,10.23479051,17.93165251,20.52556732,22.01418505,23.73544496,24.9031948,25.99372686,27.36720335
Karangasem,Bali,Educational Facilities,1,Lognormal,Linear,6.94375e-06,"σ=0.1330, μ=3.5063 (Linear)",7,33.33509835,0.5,37.18420333,18.59210167,33.33509835,37.29454098,39.5280994,42.07913162,43.791929,45.37922088,47.36242433
Klungkung,Bali,Educational Facilities,1,Pareto,WLS,3.01169e-06,"α=8.9958, xm=6.4608 (WLS)",7,6.979331443,0.5,7.84341295,3.921706475,6.979331443,7.722205044,8.329171525,9.206032475,9.945775846,10.7508102,11.89924021
Tabanan,Bali,Educational Facilities,1,Lognormal,Linear,1.06917e-06,"σ=0.0977, μ=3.1962 (Linear)",7,24.44549311,0.5,26.4716464,13.2358232,24.44549311,26.54673617,27.70578027,29.00852921,29.87144606,30.66316854,31.64212539
Badung,Bali,Electricity,0,Lognormal,WLS,4.8085e-07,"σ=0.1996, μ=2.3089 (WLS)",7,10.06863729,0.5,11.89416178,5.947080892,10.06863729,11.91637192,13.00364609,14.28363519,15.16527714,15.99790857,17.05888626
Buleleng,Bali,Electricity,0,Pareto,WLS,1.54768e-05,"α=5.8857, xm=6.3078 (WLS)",7,7.097697426,0.5,8.534769461,4.26738473,7.097697426,8.284326385,9.299976283,10.8373566,12.19625769,13.7369742,16.04208736
Denpasar City,Bali,Electricity,0,Lognormal,WLS,6.30483e-06,"σ=0.7941, μ=-1.5770 (WLS)",6,0.207032343,0.5,0.445912313,0.222956156,0.207032343,0.404726859,0.572839528,0.832248095,1.056188082,1.30645597,1.686733377
Gianyar,Bali,Electricity,0,Pareto,WLS,1.37567e-06,"α=7.5795, xm=5.5161 (WLS)",7,6.045347536,0.5,6.954687288,3.477343644,6.045347536,6.816432791,7.456894616,8.397533025,9.204286386,10.09506352,11.38737441
Jembrana,Bali,Electricity,0,Lognormal,Linear,2.06362e-06,"σ=0.2542, μ=1.1256 (Linear)",7,3.084129927,0.5,3.823836262,1.911918131,3.084129927,3.822364828,4.272002415,4.814642422,5.196303478,5.562375097,6.036427503
Karangasem,Bali,Electricity,0,Pareto,WLS,3.87287e-06,"α=9.9979, xm=1.9305 (WLS)",7,2.069378872,0.5,2.297074364,1.148537182,2.069378872,2.266545616,2.426225631,2.654878305,2.846074699,3.052534925,3.344417889
Klungkung,Bali,Electricity,0,Pareto,WLS,4.97846e-07,"α=4.9681, xm=0.2327 (WLS)",7,0.26765502,0.5,0.334349333,0.167174666,0.26765502,0.321451826,0.368652418,0.441906547,0.5082875,0.585216297,0.703281973
Tabanan,Bali,Electricity,0,Pareto,WLS,2.86784e-06,"α=7.1174, xm=1.1788 (WLS)",7,1.299559567,0.5,1.509782273,0.754891136,1.299559567,1.476783389,1.624986021,1.844135677,2.0333757,2.243577785,2.550656633
Badung,Bali,Electricity,1,Lognormal,Linear,2.19984e-07,"σ=0.2220, μ=2.3808 (Linear)",7,10.82044276,0.5,13.03618236,6.518091179,10.82044276,13.05043936,14.38133687,15.96415099,17.06376087,18.10885746,19.4494009
Buleleng,Bali,Electricity,1,Pareto,WLS,9.33935e-06,"α=5.8095, xm=7.1196 (WLS)",7,8.023563522,0.5,9.673759916,4.836879958,8.023563522,9.383974205,10.55041598,12.31917848,13.88536329,15.66385819,18.32953058
Denpasar City,Bali,Electricity,1,Lognormal,WLS,2.77267e-06,"σ=0.6592, μ=-1.0647 (WLS)",6,0.345442971,0.5,0.63929716,0.31964858,0.345442971,0.602631915,0.804076364,1.09638658,1.33620905,1.594195079,1.970823476
Gianyar,Bali,Electricity,1,Lognormal,WLS,1.77224e-06,"σ=0.2958, μ=1.7817 (WLS)",7,5.944687201,0.5,7.653172537,3.826586268,5.944687201,7.63071816,8.684825565,9.98122771,10.90764124,11.80674651,12.98544929
Jembrana,Bali,Electricity,1,Lognormal,WLS,1.37813e-06,"σ=0.3017, μ=1.1738 (WLS)",7,3.236784208,0.5,4.189656239,2.09482812,3.236784208,4.175594705,4.764723001,5.491217889,6.011547781,6.517387043,7.18168881
Karangasem,Bali,Electricity,1,Lognormal,WLS,6.14073e-06,"σ=0.2173, μ=0.7318 (WLS)",7,2.080070603,0.5,2.495737461,1.24786873,2.080070603,2.498911007,2.748147801,3.043934228,3.249056421,3.443752336,3.693145158
Klungkung,Bali,Electricity,1,Lognormal,WLS,2.48933e-06,"σ=0.3995, μ=-1.2995 (WLS)",7,0.272960483,0.5,0.387298641,0.193649321,0.272960483,0.382446527,0.455488366,0.549659493,0.619670897,0.689646013,0.784239125
Tabanan,Bali,Electricity,1,Lognormal,WLS,3.39601e-06,"σ=0.2932, μ=0.2660 (WLS)",7,1.305775588,0.5,1.677116476,0.838558238,1.305775588,1.67249511,1.9013994,2.182591089,2.383334917,2.578019763,2.833053005
Badung,Bali,Healthcare Facilities,0,Lognormal,WLS,1.8174e-05,"σ=0.1593, μ=1.1381 (WLS)",7,3.122098117,0.5,3.561772163,1.780886081,3.122098117,3.571549514,3.82936644,4.127377388,4.329500194,4.518218912,4.755851063
