Climate Change,Regency/City,Province,Exposure,Model,Threshold (PML 25y),AAL,PML 10y,TVaR 10y,PML 25y,TVaR 25y,PML 50y,TVaR 50y,PML 100y,TVaR 100y,PML 250y,TVaR 250y
0,Denpasar City,Bali,Rice Field in 2022,Pareto,118.225786961708,4.895423997448,114.67822369362,118.6677489349,118.225786961708,122.385599936195,121.039970442549,125.296118818997,123.941670852976,128.224150911034,127.83019756165,132.268844335046
0,Gianyar,Bali,Rice Field in 2022,Pareto,639.606133608149,25.893346378409,632.800416657397,640.359534736434,639.606133608149,647.333659460214,644.911248089324,652.699313124741,650.298188765868,658.014811353157,657.390337415708,665.233377138514
0,Jembrana,Bali,Rice Field in 2022,Pareto,243.398950947992,10.064208190083,236.386367676164,244.266383730715,243.398950947992,251.605204752075,248.955776887629,257.344186661003,254.679945265404,263.112168708476,262.342350649331,271.071425770676
0,Klungkung,Bali,Rice Field in 2022,Lognormal,116.439577957137,4.67345856977,115.974372632043,116.44218379946,116.439577957137,116.836464244238,116.737331074083,117.098643156616,117.003690024874,117.339503313031,117.324492106658,117.631857812182
0,Buleleng,Bali,Rice Field in 2022,Lognormal,420.543199340893,16.883509209213,418.733504379604,420.553550021843,420.543199340893,422.087730230332,421.701781900966,423.108122402338,422.738400595871,424.04570207675,423.987143663847,425.18393355082
0,Tabanan,Bali,Rice Field in 2022,Pareto,844.19009042896,34.119639926879,836.420831904288,845.042445610059,844.19009042896,852.990998171962,850.238511671985,859.098540470733,856.37331910613,865.142155786236,864.439567661261,873.339250476385
0,Karangasem,Bali,Rice Field in 2022,Pareto,272.168543411013,10.991984204498,269.84339754325,272.422576015306,272.168543411013,274.79960511246,273.977617802203,276.625006977802,275.81158336431,278.43036573718,278.221503341828,280.877608942307
0,Badung,Bali,Rice Field in 2022,Pareto,458.302917603265,18.569006531759,453.093323987449,458.882250111534,458.302917603265,464.225163293968,462.366483890467,468.338475486897,466.495076614638,472.415670863907,471.934134042555,477.956103675272
0,Bangli,Bali,Rice Field in 2022,Lognormal,126.193518186628,5.070748781693,125.520448444292,126.19763426524,126.193518186628,126.768719542319,126.624788767157,127.148839354193,127.010900767311,127.498308488796,127.476325174048,127.922821472851
1,Denpasar City,Bali,Rice Field in 2022,Lognormal,118.261586956365,4.778540863219,116.866704415147,118.273616000418,118.261586956365,119.463521580476,119.160140953403,120.259314674545,119.967777493808,120.993564881153,120.945297590254,121.888848582516
