Regency/City,Province,Exposure,Estimated_Loss,Simulated_Mean,Simulated_Std_Dev,Actual_CV,VaR_90%,TVaR_90%,VaR_95%,TVaR_95%,VaR_98%,TVaR_98%,VaR_99%,TVaR_99%,VaR_99.5%,TVaR_99.5%,Max_Simulated_Loss
Badung,Bali,Airport,310450725664.03,310377681293.357,46558916431.6436,0.150007295104566,371659856094.097,399537772814.491,392260608396.485,418114062099.955,416924398452.138,440855152125.698,434233794000.553,457076600919.225,450747881134.348,472628186071.476,616983197219.604
Badung,Bali,Airport,310450725664.03,310284891955.658,108568450581.547,0.349899248710641,452913342084.905,537278107647.253,512162887836.619,595230213038.89,588518268350.931,670914027392.31,645684125461.82,728095204051.261,703010198300.36,785421022036.777,1437703090688.81
Badung,Bali,Airport,310450725664.03,310195673384.483,170459402629.612,0.549522179886532,525535520319.998,686500026440.723,632918711302.092,800155323778.685,780939913566.621,957481533932.255,898468363525.59,1082645172799.92,1021807756612.95,1213291457362.49,3014742160336.52
Badung,Bali,Airport,310450725664.03,310107059723.068,232167626835.109,0.748669272613268,584429946429.42,836068980114.106,744149698968.035,1018077019921.35,977830743507.285,1283124869872.86,1173229332447.31,1503676638924.11,1386693054754.24,1742153026070.36,5656952698295.05
Badung,Bali,Airport,310450725664.03,310062171022.522,262928661267.36,0.84798690662674,608348092227.964,908369528539.487,794282346902.203,1127716867148.66,1073725237771.85,1454438238470.63,1312887536183.53,1731801817003.65,1578930153736.63,2036469854532.02,7453588637704.93
Badung,Bali,Educational,608074000000.0,608173000000.0,91291073980.0,0.15010702,728326000000.0,782983000000.0,769218000000.0,819331000000.0,817034000000.0,863513000000.0,850332000000.0,895039000000.0,882521000000.0,925286000000.0,1172980000000.0
Denpasar City,Bali,Educational,1418720000000.0,1418950000000.0,212995000000.0,0.15010702,1699290000000.0,1826810000000.0,1794690000000.0,1911610000000.0,1906250000000.0,2014700000000.0,1983940000000.0,2088250000000.0,2059040000000.0,2158820000000.0,2736720000000.0
Gianyar,Bali,Educational,100996000000.0,101012000000.0,15162644499.0,0.15010702,120969000000.0,130047000000.0,127760000000.0,136084000000.0,135702000000.0,143422000000.0,141233000000.0,148658000000.0,146579000000.0,153682000000.0,194821000000.0
Jembrana,Bali,Educational,73518683295.0,73530676634.0,11037470769.0,0.15010702,88057695853.0,94665957539.0,93001617040.0,99060523251.0,98782759205.0,104402000000.0,102809000000.0,108214000000.0,106700000000.0,111871000000.0,141818000000.0
Karangasem,Bali,Educational,6727440558.0,6728538027.0,1010000794.0,0.15010702,8057855336.0,8662554518.0,8510256473.0,9064686035.0,9039268807.0,9553492692.0,9407670434.0,9902282469.0,9763786606.0,10236919377.0,12977255484.0
Klungkung,Bali,Educational,114985000000.0,115003000000.0,17262799478.0,0.15010702,137724000000.0,148059000000.0,145456000000.0,154932000000.0,154498000000.0,163287000000.0,160795000000.0,169248000000.0,166881000000.0,174968000000.0,221806000000.0
Tabanan,Bali,Educational,48919106992.0,48927087323.0,7344299289.0,0.15010702,58593321477.0,62990438591.0,61882991513.0,65914569174.0,65729745827.0,69468964780.0,68408606892.0,72005216760.0,70998133326.0,74438555046.0,94365122077.0
