No,Kabupaten/Kota,Lokasi Mengungsi,Waktu Mengungsi (hari),Estimasi Kedalaman Banjir Berdasarkan Model (m)
1,Denpasar,SD 25 Pemecutan,2,1.16
2,Denpasar,Banjar Dadakan Peguyangan,3,1.40
3,Denpasar,Banjar Sedana Merta Ubung,3,1.56
4,Denpasar,Banjar Kesambi Kesiman,3,1.25
5,Denpasar,Pulau Misol,3,1.36
6,Denpasar,posko jalan sutomo,5,1.28
7,Denpasar,posko cokroaminoto,6,-
8,Denpasar,Dauh Puri Kaja,0,1.81
9,Denpasar,Balai Masyarakat Pemecutan Kaja,4,1.28
10,Denpasar,Kantor Desa Tegal Kerta,1,0.89
11,Denpasar,"Banjar Tohpati,Kesiman Kertalangu",4,1.25
12,Jembrana,Banjar Samblong,1,5.59
13,Jembrana,Desa Yehkuning,1,0.71
14,Jembrana,Loloan Barat,1,1.74
15,Jembrana,"Tegal Badeng,",1,0.99
16,Jembrana,Polres Jembrana,1,4.80
17,Jembrana,Banjar Tengah,2,0.77
18,Jembrana,Banjar Lelateng,2,1.36
