No.,Disable Group [D],No.,Age Group [A],Code
1,Disabled Male,1,Children (0 - 9 years),D1A1
1,Disabled Male,2,Adolescent (10 - 19 years),D1A2
1,Disabled Male,3,Young Adults (20 - 39 years),D1A3
1,Disabled Male,4,Middle Age (40 - 59 years),D1A4
1,Disabled Male,5,Elderly (60 - 69 years),D1A5
1,Disabled Male,6,Senior (> 69 years),D1A6
2,Disabled Female,1,Children (0 - 9 years),D2A1
2,Disabled Female,2,Adolescent (10 - 19 years),D2A2
2,Disabled Female,3,Young Adults (20 - 39 years),D2A3
2,Disabled Female,4,Middle Age (40 - 59 years),D2A4
2,Disabled Female,5,Elderly (60 - 69 years),D2A5
2,Disabled Female,6,Senior (> 69 years),D2A6
3,Non Disabled Male,1,Children (0 - 9 years),D3A1
3,Non Disabled Male,2,Adolescent (10 - 19 years),D3A2
3,Non Disabled Male,3,Young Adults (20 - 39 years),D3A3
3,Non Disabled Male,4,Middle Age (40 - 59 years),D3A4
3,Non Disabled Male,5,Elderly (60 - 69 years),D3A5
3,Non Disabled Male,6,Senior (> 69 years),D3A6
4,Non Disabled Female,1,Children (0 - 9 years),D4A1
4,Non Disabled Female,2,Adolescent (10 - 19 years),D4A2
4,Non Disabled Female,3,Young Adults (20 - 39 years),D4A3
4,Non Disabled Female,4,Middle Age (40 - 59 years),D4A4
4,Non Disabled Female,5,Elderly (60 - 69 years),D4A5
4,Non Disabled Female,6,Senior (> 69 years),D4A6
