,,,,,,Flood - R25,,,,Flood - R250,,,,Flood - RC25,,,,Flood - RC250,,,,Tsunami,,,,Earthquake,,,,
fid,Village ID,Village,District,Regency/City,Province,No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Class (%),Low (%),Moderate (%),High (%),No Damage (%),Slight (%),Moderate (%),Extensive (%),Collapse (%)
1,51.05.02.2008,Aan,Banjarangkan,Klungkung,Bali,91.40,1.85,1.59,5.17,90.72,1.87,1.93,5.47,90.94,1.96,1.67,5.43,90.46,1.93,1.74,5.87,100.00,0.00,0.00,0.00,99.60,0.36,0.02,0.02,0.01
2,51.07.05.2001,Ababi,Abang,Karangasem,Bali,95.90,1.14,0.76,2.20,95.35,1.39,0.85,2.42,95.67,1.22,0.79,2.31,95.16,1.44,0.97,2.42,100.00,0.00,0.00,0.00,99.50,0.41,0.03,0.02,0.04
3,51.07.05.2005,Abang,Abang,Karangasem,Bali,89.37,3.20,2.12,5.30,88.66,3.07,2.65,5.61,89.06,3.09,2.39,5.46,88.00,3.34,2.81,5.86,100.00,0.00,0.00,0.00,99.40,0.50,0.04,0.04,0.02
4,51.06.04.2020,Abangsongan,Kintamani,Bangli,Bali,82.33,12.01,1.77,3.90,81.90,0.80,12.79,4.51,82.21,11.36,2.29,4.15,81.69,0.84,12.57,4.90,100.00,0.00,0.00,0.00,99.57,0.36,0.03,0.02,0.01
5,51.02.06.2014,Abian Tuwung,Kediri,Tabanan,Bali,85.98,3.43,2.56,8.03,83.97,3.68,3.08,9.27,84.86,3.66,2.77,8.71,82.58,3.91,3.43,10.08,100.00,0.00,0.00,0.00,99.53,0.41,0.03,0.02,0.01
6,51.03.02.1014,Abianbase,Mengwi,Badung,Bali,86.82,6.66,3.31,3.20,84.59,7.65,4.00,3.76,86.03,6.99,3.50,3.48,83.66,7.72,4.45,4.17,100.00,0.00,0.00,0.00,99.40,0.50,0.04,0.03,0.03
7,51.04.03.1005,Abianbase,Gianyar,Gianyar,Bali,91.42,5.29,1.56,1.74,89.57,6.08,2.03,2.32,90.66,5.65,1.77,1.92,88.27,6.63,2.57,2.54,100.00,0.00,0.00,0.00,99.42,0.51,0.03,0.03,0.01
8,51.03.03.2008,Abiansemal,Abiansemal,Badung,Bali,90.35,2.63,1.40,5.62,89.28,2.92,1.72,6.09,90.15,2.47,1.65,5.73,88.44,3.19,1.83,6.55,100.00,0.00,0.00,0.00,99.38,0.52,0.03,0.04,0.03
9,51.03.03.2016,Abiansemal Dauh Yeh Cani,Abiansemal,Badung,Bali,91.30,2.91,2.46,3.33,90.40,3.17,2.59,3.84,90.98,3.04,2.56,3.42,89.79,3.55,2.53,4.13,100.00,0.00,0.00,0.00,99.34,0.54,0.05,0.05,0.03
10,51.06.01.2003,Abuan,Susut,Bangli,Bali,92.16,2.16,1.31,4.37,91.57,2.14,1.37,4.92,92.00,2.10,1.33,4.57,91.28,2.16,1.37,5.19,100.00,0.00,0.00,0.00,99.47,0.45,0.03,0.02,0.01
11,51.06.04.2013,Abuan,Kintamani,Bangli,Bali,90.25,1.22,1.13,7.40,89.16,1.41,1.22,8.21,89.69,1.35,1.09,7.88,88.69,1.43,1.26,8.62,100.00,0.00,0.00,0.00,99.64,0.33,0.02,0.01,0.00
12,51.01.05.2007,Air Kuning,Jembrana,Jembrana,Bali,65.90,9.94,11.87,12.29,63.01,6.27,12.89,17.83,64.10,8.19,14.46,13.25,61.87,4.58,8.86,24.70,0.00,0.00,12.82,87.18,99.42,0.50,0.03,0.03,0.02
13,51.05.03.2014,Akah,Klungkung,Klungkung,Bali,88.80,1.94,1.42,7.84,88.03,1.70,1.56,8.71,88.31,1.70,1.56,8.43,87.58,1.70,1.70,9.02,100.00,0.00,0.00,0.00,99.68,0.29,0.01,0.01,0.00
14,51.08.06.2016,Alasangker,Buleleng,Buleleng,Bali,91.03,1.70,2.01,5.26,90.16,1.97,1.89,5.98,90.20,2.04,1.87,5.89,89.32,2.03,2.03,6.62,100.00,0.00,0.00,0.00,99.51,0.40,0.04,0.03,0.02
15,51.08.05.2003,Ambengan,Sukasada,Buleleng,Bali,89.08,1.10,1.04,8.77,88.37,1.19,1.04,9.39,88.66,1.13,1.05,9.16,86.94,1.36,1.13,10.57,100.00,0.00,0.00,0.00,99.56,0.38,0.03,0.02,0.01
16,51.07.07.2008,Amerta Bhuana,Selat,Karangasem,Bali,97.14,0.95,0.57,1.34,96.70,1.05,0.68,1.57,96.96,1.02,0.62,1.40,96.43,1.14,0.69,1.73,100.00,0.00,0.00,0.00,99.56,0.39,0.03,0.02,0.01
17,51.03.03.2005,Angantaka,Abiansemal,Badung,Bali,89.28,3.95,2.35,4.42,87.79,3.99,3.17,5.05,88.77,4.11,2.62,4.50,85.17,5.05,3.01,6.77,100.00,0.00,0.00,0.00,99.44,0.44,0.04,0.04,0.05
