Village Code,Village,District,Regency/City,Province,Household,Total Population,D1_Disabled Male Ratio,D2_Disabled Female Ratio,D3_Non Disabled Male Ratio,D4_Non Disable Female Ratio,A1_Children Ratio,A2_Adolescent Ratio,A3_Young Adults Ratio,A4_Middle Age Ratio,A5_Elderly Ratio,A6_Senior Ratio,D1A1,D1A2,D1A3,D1A4,D1A5,D1A6,D2A1,D2A2,D2A3,D2A4,D2A5,D2A6,D3A1,D3A2,D3A3,D3A4,D3A5,D3A6,D4A1,D4A2,D4A3,D4A4,D4A5,D4A6
51.05.02.2008,Aan,Banjarangkan,Klungkung,Bali,727,3170,0.0073,0.0035,0.4902,0.4991,0.1082,0.1451,0.2599,0.2921,0.1013,0.0934,0.0008,0.0011,0.0019,0.0021,0.0007,0.0007,0.0004,0.0005,0.0009,0.001,0.0004,0.0003,0.053,0.0711,0.1274,0.1432,0.0496,0.0458,0.054,0.0724,0.1297,0.1458,0.0505,0.0466
51.07.05.2001,Ababi,Abang,Karangasem,Bali,3384,10924,0,0,0.5103,0.4897,0.138,0.1642,0.2895,0.2655,0.0798,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0.0705,0.0838,0.1477,0.1355,0.0407,0.0321,0.0676,0.0804,0.1417,0.13,0.0391,0.0308
51.07.05.2005,Abang,Abang,Karangasem,Bali,1227,4037,0,0,0.5155,0.4845,0.1412,0.1608,0.2735,0.2707,0.0902,0.0637,0,0,0,0,0,0,0,0,0,0,0,0,0.0728,0.0829,0.141,0.1396,0.0465,0.0328,0.0684,0.0779,0.1325,0.1312,0.0437,0.0308
51.06.04.2020,Abangsongan,Kintamani,Bangli,Bali,402,1296,0.0093,0.0054,0.5054,0.4799,0.1258,0.1644,0.2886,0.2685,0.0779,0.0748,0.0012,0.0015,0.0027,0.0025,0.0007,0.0007,0.0007,0.0009,0.0016,0.0015,0.0004,0.0004,0.0636,0.0831,0.1458,0.1357,0.0394,0.0378,0.0604,0.0789,0.1385,0.1289,0.0374,0.0359
51.02.06.2014,Abian Tuwung,Kediri,Tabanan,Bali,3682,12112,0.0021,0.0018,0.4966,0.4994,0.134,0.1419,0.2743,0.3011,0.0839,0.0648,0.0003,0.0003,0.0006,0.0006,0.0002,0.0001,0.0002,0.0003,0.0005,0.0005,0.0002,0.0001,0.0665,0.0705,0.1362,0.1495,0.0417,0.0322,0.0669,0.0709,0.137,0.1504,0.0419,0.0324
51.03.02.1014,Abianbase,Mengwi,Badung,Bali,1857,7770,0.0023,0.0022,0.4958,0.4997,0.1201,0.1519,0.287,0.3023,0.087,0.0517,0.0003,0.0004,0.0007,0.0007,0.0002,0.0001,0.0003,0.0003,0.0006,0.0007,0.0002,0.0001,0.0595,0.0753,0.1423,0.1499,0.0431,0.0256,0.06,0.0759,0.1434,0.1511,0.0435,0.0259
51.04.03.1005,Abianbase,Gianyar,Gianyar,Bali,1806,7400,0.0024,0.0007,0.4938,0.5031,0.1299,0.1538,0.2809,0.2984,0.0847,0.0523,0.0003,0.0004,0.0007,0.0007,0.0002,0.0001,0.0001,0.0001,0.0002,0.0002,0.0001,0,0.0641,0.0759,0.1387,0.1473,0.0418,0.0258,0.0653,0.0774,0.1413,0.1501,0.0426,0.0263
51.03.03.2008,Abiansemal,Abiansemal,Badung,Bali,2278,8236,0.005,0.0049,0.4941,0.4961,0.1241,0.1476,0.2814,0.2938,0.0857,0.0673,0.0006,0.0007,0.0014,0.0015,0.0004,0.0003,0.0006,0.0007,0.0014,0.0014,0.0004,0.0003,0.0613,0.0729,0.139,0.1452,0.0424,0.0332,0.0616,0.0732,0.1396,0.1458,0.0425,0.0334
51.03.03.2016,Abiansemal Dauh Yeh Cani,Abiansemal,Badung,Bali,2058,6865,0.0089,0.0067,0.488,0.4964,0.1177,0.1516,0.2718,0.3091,0.0817,0.068,0.001,0.0013,0.0024,0.0027,0.0007,0.0006,0.0008,0.001,0.0018,0.0021,0.0005,0.0005,0.0574,0.074,0.1326,0.1508,0.0399,0.0332,0.0584,0.0753,0.1349,0.1534,0.0406,0.0338
51.06.01.2003,Abuan,Susut,Bangli,Bali,2258,7057,0.0047,0.0023,0.4984,0.4947,0.123,0.1348,0.2749,0.2806,0.1026,0.0842,0.0006,0.0006,0.0013,0.0013,0.0005,0.0004,0.0003,0.0003,0.0006,0.0006,0.0002,0.0002,0.0613,0.0672,0.137,0.1398,0.0511,0.0419,0.0608,0.0667,0.136,0.1388,0.0508,0.0416
51.06.04.2013,Abuan,Kintamani,Bangli,Bali,427,1698,0.0029,0.0018,0.513,0.4823,0.1113,0.1284,0.3051,0.2903,0.1048,0.0601,0.0003,0.0004,0.0009,0.0009,0.0003,0.0002,0.0002,0.0002,0.0005,0.0005,0.0002,0.0001,0.0571,0.0659,0.1565,0.1489,0.0538,0.0308,0.0537,0.0619,0.1471,0.14,0.0506,0.029
51.01.05.2007,Air Kuning,Jembrana,Jembrana,Bali,1780,5363,0.0047,0.0039,0.496,0.4954,0.1551,0.1611,0.2941,0.2985,0.0595,0.0317,0.0007,0.0008,0.0014,0.0014,0.0003,0.0001,0.0006,0.0006,0.0012,0.0012,0.0002,0.0001,0.0769,0.0799,0.1458,0.1481,0.0295,0.0157,0.0769,0.0798,0.1457,0.1479,0.0295,0.0157
51.05.03.2014,Akah,Klungkung,Klungkung,Bali,1401,5975,0.0092,0.0055,0.4942,0.491,0.1351,0.159,0.2844,0.2728,0.0927,0.0561,0.0012,0.0015,0.0026,0.0025,0.0009,0.0005,0.0007,0.0009,0.0016,0.0015,0.0005,0.0003,0.0668,0.0786,0.1405,0.1348,0.0458,0.0277,0.0663,0.0781,0.1396,0.134,0.0455,0.0275
51.08.06.2016,Alasangker,Buleleng,Buleleng,Bali,2035,6361,0.0047,0.0033,0.5009,0.4911,0.1471,0.171,0.2965,0.257,0.0747,0.0536,0.0007,0.0008,0.0014,0.0012,0.0004,0.0003,0.0005,0.0006,0.001,0.0008,0.0002,0.0002,0.0737,0.0857,0.1485,0.1287,0.0374,0.0269,0.0723,0.084,0.1456,0.1262,0.0367,0.0263
51.08.05.2003,Ambengan,Sukasada,Buleleng,Bali,1429,4546,0.0073,0.0029,0.4925,0.4974,0.1337,0.1692,0.286,0.275,0.0774,0.0587,0.001,0.0012,0.0021,0.002,0.0006,0.0004,0.0004,0.0005,0.0008,0.0008,0.0002,0.0002,0.0659,0.0833,0.1408,0.1354,0.0381,0.0289,0.0665,0.0841,0.1422,0.1368,0.0385,0.0292
51.07.07.2008,Amerta Bhuana,Selat,Karangasem,Bali,1242,3705,0.0035,0.003,0.4918,0.5018,0.1269,0.1609,0.2858,0.2734,0.0758,0.0772,0.0004,0.0006,0.001,0.001,0.0003,0.0003,0.0004,0.0005,0.0008,0.0008,0.0002,0.0002,0.0624,0.0791,0.1406,0.1345,0.0373,0.038,0.0637,0.0807,0.1434,0.1372,0.0381,0.0387
51.03.03.2005,Angantaka,Abiansemal,Badung,Bali,1336,4526,0.0033,0.0018,0.4881,0.5068,0.1209,0.1529,0.2715,0.3051,0.0908,0.0588,0.0004,0.0005,0.0009,0.001,0.0003,0.0002,0.0002,0.0003,0.0005,0.0005,0.0002,0.0001,0.059,0.0746,0.1325,0.1489,0.0443,0.0287,0.0613,0.0775,0.1376,0.1547,0.046,0.0298
51.02.03.2009,Angkah,Selemadeg Barat,Tabanan,Bali,735,2115,0.0052,0.0071,0.4946,0.4931,0.1097,0.1272,0.2591,0.2979,0.1121,0.0941,0.0006,0.0007,0.0013,0.0015,0.0006,0.0005,0.0008,0.0009,0.0018,0.0021,0.0008,0.0007,0.0542,0.0629,0.1281,0.1473,0.0554,0.0465,0.0541,0.0627,0.1278,0.1469,0.0553,0.0464
51.02.09.2004,Angseri,Baturiti,Tabanan,Bali,1486,4700,0.0028,0.0017,0.5,0.4955,0.1194,0.1279,0.2834,0.287,0.0934,0.0889,0.0003,0.0004,0.0008,0.0008,0.0003,0.0002,0.0002,0.0002,0.0005,0.0005,0.0002,0.0002,0.0597,0.0639,0.1417,0.1435,0.0467,0.0445,0.0591,0.0634,0.1404,0.1422,0.0463,0.0441
51.02.01.2007,Antap,Selemadeg,Tabanan,Bali,842,2961,0.0051,0.0034,0.49,0.5015,0.105,0.1189,0.2634,0.305,0.1199,0.0878,0.0005,0.0006,0.0013,0.0015,0.0006,0.0004,0.0004,0.0004,0.0009,0.001,0.0004,0.0003,0.0515,0.0583,0.1291,0.1494,0.0588,0.043,0.0527,0.0596,0.1321,0.1529,0.0601,0.044
51.02.09.2007,Antapan,Baturiti,Tabanan,Bali,1277,3786,0.0045,0.0011,0.5032,0.4913,0.1107,0.1405,0.2802,0.2916,0.1088,0.0681,0.0005,0.0006,0.0013,0.0013,0.0005,0.0003,0.0001,0.0001,0.0003,0.0003,0.0001,0.0001,0.0557,0.0707,0.141,0.1467,0.0548,0.0343,0.0544,0.069,0.1377,0.1433,0.0535,0.0335
51.07.03.2002,Antiga,Manggis,Karangasem,Bali,2120,7571,0,0,0.4976,0.5024,0.1436,0.1836,0.2893,0.2606,0.0614,0.0616,0,0,0,0,0,0,0,0,0,0,0,0,0.0714,0.0913,0.1439,0.1297,0.0306,0.0306,0.0721,0.0922,0.1453,0.1309,0.0309,0.0309
51.07.03.2010,Antiga Kelod,Manggis,Karangasem,Bali,1639,5786,0.0052,0.0024,0.4908,0.5016,0.149,0.1785,0.2872,0.2572,0.0596,0.0684,0.0008,0.0009,0.0015,0.0013,0.0003,0.0004,0.0004,0.0004,0.0007,0.0006,0.0001,0.0002,0.0731,0.0876,0.141,0.1262,0.0293,0.0336,0.0747,0.0895,0.1441,0.129,0.0299,0.0343
51.02.03.2004,Antosari,Selemadeg Barat,Tabanan,Bali,657,1843,0.006,0.0043,0.4938,0.4959,0.1047,0.115,0.2675,0.2664,0.1264,0.1199,0.0006,0.0007,0.0016,0.0016,0.0008,0.0007,0.0005,0.0005,0.0012,0.0012,0.0005,0.0005,0.0517,0.0568,0.1321,0.1315,0.0624,0.0592,0.0519,0.057,0.1327,0.1321,0.0627,0.0595
