No,Kota/Kabupaten,Lokasi Penampungan,Jumlah Pengungsi (orang),Waktu Mengungsi (hari)
1,Denpasar,SD 25 Pemecutan,16,2
2,Denpasar,Banjar Dadakan Peguyangan,139,3
3,Denpasar,Banjar Sedana Merta Ubung,68,3
4,Denpasar,Banjar Kesambi Kesiman,129,3
5,Denpasar,Banjar Sumuh,103,3
6,Denpasar,SD Negeri 12 Pemecutan,340,5
7,Denpasar,Posko Cokroaminoto,540,6
8,Denpasar,Dauh Puri Kaja Village Perbekel Office,0,0
9,Denpasar,Kantor Perbekel Desa Pemecutan Kaja,213,4
10,Denpasar,Kantor Desa Tegal Kertha,22,1
11,Denpasar,Bale Banjar Tohpati,139,4
12,Jembrana,Balai Adat Banjar samblong,200,1
13,Jembrana,Kantor Perbekel Desa Yeh Kuning,25,1
14,Jembrana,Kantor Kelurahan Loloan Barat,75,1
15,Jembrana,Musholla Miftahussolah,11,1
16,Jembrana,Polres Jembrana,16,1
17,Jembrana,Kantor Kelurahan Banjar Tengah,100,2
18,Jembrana,Kantor Lurah Lelateng,400,2
