No.,Lokasi Penampungan,Jumlah Total Pengungsi (Orang),Biaya Rendah (USD),Biaya Berdasarkan Kebijakan (USD)
1,SD 25 Pemecutan,16,68.90,40.48
2,Banjar Dadakan Peguyangan,139,598.53,351.67
3,Banjar Sedana Merta Ubung,68,292.81,172.04
4,Banjar Kesambi Kesiman,129,555.47,326.37
5,Banjar Sumuh,103,443.52,260.59
6,SD Negeri 12 Pemecutan,340,"1,464.04",860.20
7,Posko Cokroaminoto,540,"2,325.24","1,366.20"
8,Dauh Puri Kaja Village Perbekel Office,0,0.00,0.00
9,Kantor Perbekel Desa Pemecutan Kaja,213,917.18,538.89
10,Kantor Desa Tegal Kertha,22,94.73,55.66
11,Bale Banjar Tohpati,139,598.53,351.67
12,Balai Adat Banjar samblong,200,861.20,506.00
13,Kantor Perbekel Desa Yeh Kuning,25,107.65,63.25
14,Kantor Kelurahan Loloan Barat,75,322.95,189.75
15,Musholla Miftahussolah,11,47.37,27.83
16,Polres Jembrana,16,68.90,40.48
17,Kantor Kelurahan Banjar Tengah,100,430.60,253.00
18,Kantor Lurah Lelateng,400,"1,722.40","1,012.00"
,Total,"2,536","10,920.02","6,416.08"
