Return Period (year),DUL Loss Value (IDR),DUH Loss Value (IDR),Difference (IDR),Difference (%)
1,"110,218,000.00","1,183,500.00","-109,034,500.00",-98.93
2,"4,411,770,000.00","160,639,000.00","-4,251,131,000.00",-96.36
5,"65,808,800,000.00","7,237,270,000.00","-58,571,530,000.00",-89.00
10,"226,605,000,000.00","37,381,500,000.00","-189,223,500,000.00",-83.50
20,"651,294,000,000.00","131,211,000,000.00","-520,083,000,000.00",-79.85
25,"830,822,000,000.00","187,000,000,000.00","-643,822,000,000.00",-77.49
50,"1,725,850,000,000.00","462,784,000,000.00","-1,263,066,000,000.00",-73.19
100,"3,053,390,000,000.00","991,415,000,000.00","-2,061,975,000,000.00",-67.53
200,"4,470,450,000,000.00","1,560,110,000,000.00","-2,910,340,000,000.00",-65.10
250,"5,204,700,000,000.00","1,894,280,000,000.00","-3,310,420,000,000.00",-63.60
500,"7,203,850,000,000.00","2,713,690,000,000.00","-4,490,160,000,000.00",-62.33
1000,"8,436,470,000,000.00","3,418,360,000,000.00","-5,018,110,000,000.00",-59.48
